label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
91,36.0838402,140.0762603,-12.9092885346261,92.0540231157069,-3.60344796790308,0,0,0.999099441084886,0.006559247922254,2,2,0,0,1,-10.381900351417,93.0742262523432,-12.9092885346261,92.0540231157069,13.2326858836736,2.7255284751086
92,36.0838434,140.076217,-16.8543171581789,92.717818942887,-3.58720153451528,0,0,0.999006637086799,0.025627624308964,2,2,0,0,1,-14.2773620965242,93.4304486230897,-16.8543171581789,92.717818942887,13.3631856262447,2.67367508326904
93,36.0838436,140.0762098,-17.5364234812039,92.7988847361023,-3.59633868317992,0,0,0.999201026290773,-0.000861284685676,2,2,0,0,1,-14.9251063124641,93.4527125215086,-17.5364234812039,92.7988847361023,13.4057607776056,2.69192647164154
94,36.0838469,140.0761806,-20.5664172116172,92.8573353703583,-3.57162592675611,0,0,0.999107581016196,0.003248373387544,2,2,0,0,1,-17.5520689664242,93.8200668406734,-20.5664172116172,92.8573353703583,13.9523358310245,3.16435573651783
95,36.0838473,140.0761689,-21.7250381786698,93.0584192352108,-3.55465738589806,0,0,0.999148836658581,-0.001478933906929,2,2,0,0,1,-18.6046533163677,93.8645946367202,-21.7250381786698,93.0584192352108,14.0622956315207,3.22284353744997
96,36.083849,140.0761556,-23.0233192128168,93.0665527701621,-3.5583552421933,0,0,0.998961705715069,0.030100494800347,2,2,0,0,1,-19.8011808271136,94.0538377716983,-23.0233192128168,93.0665527701621,14.2461485256346,3.37000110547171
97,36.0838574,140.0761129,-26.9857249012534,93.7244401563092,-3.58064164259624,0,0,0.98769849598145,0.151638699787567,2,2,0,0,1,-23.6426638856414,94.9889214942156,-26.9857249012534,93.7244401563092,14.6378631288353,3.57420900452379
98,36.0838677,140.0760705,-30.457644920049,95.7171638716663,-3.69639583160166,0,0,0.97242133086242,0.231434959617334,2,2,0,0,1,-27.4571576034365,96.135512249339,-30.457644920049,95.7171638716663,14.3634287743498,3.02951142962916
99,36.0838828,140.0760322,-33.8954719352933,97.5753403331316,-3.77990777010402,0,0,0.999169743296456,-0.016554372758074,2,2,0,0,1,-30.9027969748716,97.8164365601866,-33.8954719352933,97.5753403331316,14.6057243997433,3.00237086473925
100,36.0838842,140.0760043,-36.2959938865806,97.6507174576996,-3.74757870689047,0,0,0.999126932928902,0.001818953487464,2,2,0,0,1,-33.4128058113191,97.9722838475364,-36.2959938865806,97.6507174576996,14.6140001399767,2.90106504932294
