label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
27,36.08341,140.0769719,47.15332602128421,50.26146794338604,-2.3272431356629344,0,0,0.7027413605456792,0.7111288916369916,0,0,0,0,1,-1,53.636819666258056,45.18458131344247,52.542605673797496,44.59737552481493,8.234711148408062,1.241819189533715
28,36.0834423,140.0769852,47.325970107155705,54.314352525151776,-2.545299516914995,0,0,0.6869345218809244,0.726490076796244,0,0,0,0,1,-1,54.8333471770039,48.78020086616242,53.17317569770897,48.60462655993179,9.326711373982642,1.6694297462524998
29,36.0834752,140.0770005,47.08783826572156,58.33588407157434,-2.7873824852249105,0,0,0.7415177594524577,0.670279293488156,0,0,0,0,1,-1,56.20980363619578,52.44261211255693,53.39206196221069,52.62725151833757,10.86006015651257,2.823784668043816
30,36.0835074,140.077004,46.31674819763489,62.27544767959115,-3.0337921936272063,0,0,0.7469352280067141,0.6642247891193546,0,0,0,0,1,-1,56.52467929597634,56.027099716067454,53.07213565536201,56.628799777811466,11.968446414708858,3.5045827932364784
31,36.0835351,140.0770241,46.050647161883866,66.29159923459169,-3.2224946497224423,0,0,0.7087931840954111,0.705201661271265,0,0,0,0,1,-1,58.33296523246148,59.11064961148203,53.262623354868246,60.64924720444171,14.227486590275744,5.298645988244262
32,36.083561,140.0770426,45.94706082902735,70.29521100580878,-3.4604695551245284,0,0,0.6942368825431807,0.7192858097570807,0,0,0,0,1,-1,59.99730801070119,61.99382442270907,53.61315972675133,64.63882883601285,16.319389236984378,6.9103833220637165
33,36.0835907,140.07703619999998,45.917214318060736,74.30532926663639,-3.668495358908492,0,0,0.6927900764887778,0.7208163240210936,0,0,0,0,1,-1,59.42153537260555,65.30001329914808,54.03769835474692,68.62652318655923,16.231524968976952,6.328615098574811
34,36.0836187,140.0770439,45.77966491090624,78.35619893749097,-3.883671556879949,0,0,0.7134272153291763,0.7002172634326395,0,0,0,0,1,-1,60.1142618282139,68.41695904139993,54.35984271175575,72.66690533963651,17.44331271558628,7.15369714942936
35,36.0836417,140.0770677,45.638784347216,82.38633584220732,-4.105954610339362,0,0,0.6755228335419952,0.7370132730140665,0,0,0,0,1,-1,62.25541631830143,70.97730733029971,54.67632911787494,76.68706543081747,20.15634861893441,9.48914645045047
36,36.0836639,140.0770856,45.62826743586229,86.42027923574987,-4.319353670349968,0,0,0.7318579254240575,0.6810805186185198,0,0,0,0,1,-1,63.8657804125187,73.44860002552417,55.12277143968126,80.69624229908236,22.380155073339253,11.356430972122524
37,36.083701,140.0770622,45.331019188957285,90.4524833958024,-4.541120225366801,0,0,0.6961960762307415,0.7176722111859022,0,0,0,0,1,-1,61.760611710074826,77.57855313396833,55.28413050107183,84.73616682336993,20.872699652812727,9.652784187853683
38,36.0837724,140.0769779,44.81331818551846,94.44107077817424,-4.747002076697594,0,0,0.9136773034843328,0.4054029877517178,0,0,0,0,1,-1,54.17660651415311,85.52676477694784,55.22151526583519,88.75772410483361,12.92810967653998,3.39572267386397
39,36.0837794,140.0769731,44.079345089462926,94.74052768890031,-4.743672957427148,0,0,0.9990992078713864,-0.011421542251361,0,0,0,0,1,-1,53.74477703685984,86.30600121211532,54.52618217164825,89.13838515517021,12.828164779786231,2.9381954981840277
40,36.0837804,140.076969,43.6330753397502,94.62815976755176,-4.734413120124374,0,0,0.999359046469552,0.0188434622345465,0,0,0,0,1,-1,53.37592269049992,86.41732070262755,54.07005709691543,89.07728560151527,12.741308906470184,2.749042712924733
